"Species","Taxonomic.group","BorderT1_0.9","borderT2_0.9","D_border_0.9","D_border_CI_l_0.9","D_border_CI_h_0.9","BorderT1_0.75","borderT2_0.75","D_border_0.75","D_border_CI_l_0.75","D_border_CI_h_0.75","temp.mean","temp.sd","temp.mean.k","temp.k.cv","precip.mean","precip.sd","precip.cv","gdd.aug.mean","gdd.aug.sd","gdd.aug.cv","swc.mean","swc.sd","swc.cv","range.size","wintering","body.size","num.gen"
"Pyrgus malvae","Butterfly",6940,6930,-10,-68.4525476374363,98.9956169947687,6840,6836,-4,-89.652106918363,84.652106918363,8.74,3.37,281.89,0.0119550179147895,765.57,258.51,0.337669971393863,1586.11,497.31,0.313540674984711,0.43,0.11,0.255813953488372,959,"pupa",23,1
"Satyrium pruni","Butterfly",6870,6886,16,-47.9238154343041,3.59538626972463e+307,6840,6826,-14,-94.4595272161759,35.4764780194997,8.31,2.27,281.46,0.00806508917785831,735.19,200.41,0.272596199621866,1539.92,311.94,0.202568964621539,0.42,0.1,0.238095238095238,408,"egg",31.5,1
"Argynnis aglaja","Butterfly",7010,7088,78,-61.3310123471781,236.976205831859,6890,6918,28,-75.2297953878342,125.392958746641,7.79,3.5,280.94,0.0124581761230156,814.41,344.77,0.423337139769895,1427.01,480.61,0.33679511706295,0.46,0.13,0.282608695652174,1132,"larva",51.5,1
"Thecla betulae","Butterfly",6790,6848,58,-40.7416940855574,96.131294208513,6780,6792,12,-12.5895539725614,69.9205491915696,8.62,2.31,281.77,0.00819817581715584,779.66,244.37,0.313431495780212,1536.82,354.9,0.230931403807863,0.44,0.11,0.25,628,"egg",35,1
"Thymelicus lineola","Butterfly",6980,7016,36,-33.8048162836866,141.951959850183,6880,6890,10,-109.923929557059,105.423929557059,8.69,3.19,281.84,0.0113184785694011,736.42,211.42,0.287091605333913,1580.48,459.07,0.290462391172302,0.42,0.1,0.238095238095238,926,"egg",25.5,1
"Botaurus stellaris","Bird",6950,7040,90,12.0700545471923,231.9299454528,6820,6950,130,26.56481792102,208.43518207898,8.5644511984114,2.73831700993337,281.714451198411,0.00972018651611441,670.395549006804,157.83941888727,0.2354422238052,1659.66049294808,393.854302217263,0.237310163066938,0.384735757967778,0.0802657689741328,0.208625705596242,1088,"S",1231,1
"Ardea cinerea","Bird",6950,7030,80,-63.4413449875904,184.573557497917,6830,6890,60,-18.977404701792,218.977404701792,8.29348003676142,3.07603018654662,281.443480036761,0.0109294775140815,794.183063178275,335.776720645545,0.422795116407779,1518.56152022763,478.396255032369,0.315032515087474,0.443966968806795,0.133918772629511,0.301641297751116,1670,"S",1433,1
"Pernis apivorus","Bird",7200,7220,20,-133.007365964404,183.007365964489,7020,7040,20,-222.110993567583,247.110993567583,8.34447592681675,3.661100163681,281.494475926817,0.013005939642783,726.400574816694,214.628896895134,0.295469062575144,1591.44985595954,491.119873285562,0.308599024623021,0.41815534056288,0.103430547755474,0.247349579742891,1910,"L",626,1
"Milvus migrans","Bird",7280,7400,120,-88.0763386727926,430.895682685045,7100,7260,160,19.6580649637619,267.58548375906,9.76019265382,3.44372894975813,282.91019265382,0.0121725163644847,712.694160368043,217.070610024258,0.304577506166404,1810.11976291555,493.619451621675,0.272699885242181,0.395984079078362,0.106411168098552,0.268725874904415,1458,"L",829,1
"Circus aeruginosus","Bird",7080,7170,90,-79.5550624562396,189.555062456283,6940,7020,80,-70.9122336356508,213.412233635651,9.29947636043341,3.17706833433319,282.449476360433,0.0112482712847339,683.974123007606,181.477503980309,0.265328026128104,1732.44075626055,461.477412479778,0.26637413765067,0.386725639257257,0.089497204393369,0.231422991672486,1593,"L",585,1
"Circus pygargus","Bird",7210,7190,-20,-Inf,92.2432401195249,6730,7100,370,-181.339581650891,441.767916330178,10.037258262253,3.15228077208611,283.187258262253,0.0111314357553717,703.214369071521,210.957638682539,0.299990512083924,1822.53524668529,466.570851765178,0.256001003335188,0.391522519777142,0.0963876476831292,0.246186726980593,1190,"L",316,1
"Accipiter gentilis","Bird",7340,7380,40,-140.698073805289,224.698073805453,7120,7140,20,-122.852590324502,317.852590324502,8.19386232417152,4.29273251932168,281.343862324171,0.0152579568783181,753.186218346936,296.420782970408,0.39355577113583,1563.56252232412,586.322613899803,0.374991473336338,0.434064029846685,0.125332778382261,0.288742604234056,2299,"R",1140,1
"Accipiter nisus","Bird",7320,7310,-10,-139.251455163256,182.251455163418,7090,7090,0,-182.491073476622,234.991073476621,8.32653908470864,4.28384285925048,281.476539084709,0.015219182647266,772.135134411767,312.732403649705,0.405022890051432,1563.91128919395,591.663936757642,0.378323208513054,0.442315629295015,0.129922788598301,0.29373320767656,2420,"S",204,1
