"Species","Taxonomic.group","BorderT1_0.9","borderT2_0.9","D_border_0.9","D_border_CI_l_0.9","D_border_CI_h_0.9","BorderT1_0.75","borderT2_0.75","D_border_0.75","D_border_CI_l_0.75","D_border_CI_h_0.75","temp.mean","temp.sd","temp.mean.k","temp.k.cv","precip.mean","precip.sd","precip.cv","gdd.aug.mean","gdd.aug.sd","gdd.aug.cv","swc.mean","swc.sd","swc.cv","range.size","wintering","body.size","num.gen"
"Buteo buteo","Bird",7320,7250,-70,-227.291091766864,126.291091767004,7120,7050,-70,-337.265162350883,179.765162350883,9.06826166712063,4.03558102865034,282.218261667121,0.0142995035289756,747.906699981564,278.096808131517,0.371833556429394,1674.05832233748,583.492669120369,0.348549785473209,0.422464584624134,0.115157367287114,0.272584665030725,2334,"S",807,1
"Falco subbuteo","Bird",7200,7230,30,-159.5126882527,133.512688252844,7030,7050,20,-4.10424721422633,254.104247214226,9.11585290235815,3.69817710783632,282.265852902358,0.0131017516635836,707.999048043276,206.049120455377,0.291030222462647,1699.5372134068,514.890890730776,0.302959468418261,0.404496996214913,0.10068610368663,0.248916814287379,2046,"L",211,1
"Perdix perdix","Bird",7100,7120,20,-52.0193620563073,97.6058086168846,6990,7040,50,-66.7312146039685,154.231214603969,8.51705238905963,2.60924639484263,281.66705238906,0.00926358398226337,744.218963577058,241.241067381277,0.324153346243371,1578.16366829352,376.739258224345,0.238720017317162,0.418390449923297,0.106395042862823,0.254296059774616,1698,"R",382,1
"Coturnix coturnix","Bird",7080,7110,30,-251.289959239482,93.8698777184327,6970,6970,0,-119.281149169835,84.2811491698347,10.0417682504066,3.39556392662721,283.191768250407,0.0119903341386136,749.923483061989,263.264284561213,0.351054861605729,1799.5450164875,539.052860018501,0.299549527841581,0.410048883209444,0.114655499010547,0.279614220902495,2062,"L",99,1
"Phasianus colchicus","Bird",7010,7090,80,-22.1031572966936,215.103157296714,6920,6980,60,-87.2973511624132,184.797351162413,12.5827751320952,1.85166011782015,285.732775132095,0.00648039104706879,607.283936507936,67.2179203983488,0.110686149192208,2235.22787301587,340.978340414266,0.152547462623666,0.3089,0.0231415211254576,0.0749158987551233,3,"R",1088,1
"Rallus aquaticus","Bird",6970,7000,30,-71.5192377893631,115.173079263114,6830,6890,60,-33.7861155060648,128.786115506065,9.7170535737317,3.30507183946485,282.867053573732,0.0116841880229907,746.75437433294,264.981291583142,0.354843976401001,1743.03970799808,524.002821896434,0.300625866118829,0.412053923628163,0.115415577889748,0.280098237807096,2076,"S",116,2
"Porzana porzana","Bird",7030,7080,50,-31.2841541310402,154.155738717925,6930,6960,30,-91.3924837931293,153.892483793129,8.06961097546617,2.79479356037964,281.219610975466,0.00993811758250195,683.535077893711,188.680461949218,0.276036253370683,1574.2510180612,390.404824016108,0.247994010826125,0.396879756833219,0.089863778200009,0.22642570363641,1273,"L",56,2
"Crex crex","Bird",7010,7090,80,-11.4173566268141,143.417356626893,6920,6990,70,-64.4773561401195,184.477356140119,7.82244323809949,2.5153754481121,280.972443238099,0.00895239198237152,761.391610838947,326.358162193738,0.428633777346374,1504.23278801124,380.779696532069,0.253138809077218,0.426485755089684,0.123695022294241,0.290033185910816,1384,"L",147,1
"Haematopus ostralegus","Bird",7200,7200,0,-104.310001482876,73.3100014828627,7030,7040,10,-71.2283915693393,178.728391569339,7.48639552010404,3.97286951466188,280.636395520104,0.014156643892532,871.288046274368,428.86420665634,0.492218627915493,1347.07214758771,570.183825654415,0.423276382542301,0.485797389521838,0.152128917105694,0.313153014789626,858,"S",529,1
"Charadrius dubius","Bird",7200,7220,20,-84.3506694224331,182.35066942244,7050,7070,20,-184.97511221915,112.47511221915,9.19866330296728,3.99604365003395,282.348663302967,0.0141528690211864,714.307997685995,216.004162838682,0.302396394186302,1714.70261588101,571.591997268993,0.333347597405577,0.408311933612055,0.103992883006316,0.254689795829288,2131,"L",39,1
"Scolopax rusticola","Bird",7160,7280,120,-44.5917881381833,324.591788138387,7030,7090,60,38.6405657839098,316.35943421609,7.04850230142766,3.30682804085065,280.198502301428,0.011801733462848,799.246313930903,330.176259477064,0.4131095179572,1356.90662670109,425.715909750939,0.313740018195606,0.464633117327925,0.125474912551883,0.270051590970272,1747,"S",312,2
"Limosa limosa","Bird",7210,7220,10,-449.444262997628,71.82710404371,7190,7190,0,-35.3966935706119,190.793387141224,7.35870010247937,2.4102265991279,280.508700102479,0.0085923416929577,684.494593323279,197.148820404359,0.288021004588487,1461.49692696802,338.085318614973,0.231328107761646,0.409196516864723,0.0985228307584835,0.240771430591269,909,"L",378,1
"Tringa totanus","Bird",7470,7340,-130,-337.227880095116,85.227880095119,7090,7100,10,-144.694251380379,199.694251380379,8.80132677971239,4.52743260931112,281.951326779712,0.016057497090086,757.215056403247,319.314469273006,0.421695879622022,1646.40631358814,659.33507947898,0.400469236565329,0.429759072404212,0.133755570213679,0.31123384892239,2280,"S",107,1
"Tringa ochropus","Bird",7330,7350,20,-113.939605553868,213.939605554088,7100,7160,60,-219.078343777406,149.078343777406,5.18942963683353,3.13003087416466,278.339429636834,0.0112453736010331,652.045237255118,175.884281810397,0.269742453070907,1240.1852341134,388.769647478822,0.313477081314188,0.431378080642788,0.102985236838509,0.238735442202007,932,"L",80,1
"Arenaria interpres","Bird",7200,7210,10,-56.2037356872939,74.2037356872912,7030,7050,20,-97.8773696267321,107.877369626732,3.81509701149788,2.64391374605986,276.965097011498,0.00954601780003385,909.927973064169,572.80065618391,0.629501095844995,884.418607939868,280.446485567309,0.317096998016099,0.520570629992662,0.161898269919154,0.311001544442559,200,"L",111,1
"Stercorarius parasiticus","Bird",7170,7200,30,-68.8207517458538,156.820751745852,7010,7040,30,-40.3908231927776,170.781646385555,3.97562716499426,2.91990794820301,277.125627164994,0.0105364053771345,1093.00987436897,609.482237040013,0.557618235051981,803.973120397416,265.875480982613,0.330701952885175,0.583949843191708,0.151762867300126,0.259890244118625,186,"L",385,1
"Columba livia","Bird",7100,7130,30,-95.07274488299,135.072744882976,6980,7000,20,-46.3763222215781,191.376322221578,11.6114018526136,2.90078202183584,284.761401852614,0.0101867107092598,823.806609186336,349.899218959852,0.424734658666363,2000.04333032974,555.516276599186,0.277752120754104,0.410525197124194,0.146976901936072,0.35802163415467,897,"R",302,2
"Columba oenas","Bird",7010,7070,60,-85.568403607621,195.568403607608,6860,6920,60,-112.091743966807,177.091743966807,9.06236036344976,3.29928689264555,282.21236036345,0.0116907951458842,725.592870816088,239.738362168886,0.330403414657655,1662.64815995129,492.352195307234,0.296125306103041,0.408978179841005,0.11246821149433,0.274998073339887,1979,"S",301,2
"Columba palumbus","Bird",7290,7350,60,-100.498850416978,179.498850417147,7100,7160,60,-248.262676610743,108.262676610743,8.70561633715515,4.0978784467457,281.855616337155,0.0145389277673425,771.643848197994,315.028311867282,0.408256104941369,1609.61147995627,592.343387016446,0.368003952750473,0.435132710954292,0.130615147190458,0.300173128570374,2421,"S",501,2
"Streptopelia decaocto","Bird",7200,7300,100,-67.2747851706557,164.637392585327,7000,7080,80,-51.7490346383436,181.749034638344,9.55467768449168,3.62805681450625,282.704677684492,0.012833380912626,778.744599536373,318.207769831287,0.408616342277985,1712.33220322296,578.41776982395,0.337795299729369,0.424724985473737,0.127385090740145,0.299923703801085,2297,"R",196,2
"Streptopelia turtur","Bird",7120,7330,210,85.3999540955765,392.060927444707,6940,6990,50,-78.4698836280233,391.926206360509,10.2527980226889,3.31623726783889,283.402798022689,0.0117014979773538,726.367681976215,218.385279797684,0.300653904649953,1848.00537306991,512.363555345761,0.277252200027223,0.400221440681217,0.103262925607491,0.258014476764981,1937,"L",125,1
"Bubo bubo","Bird",7150,7130,-20,-152.698494285473,148.698494285534,7000,7010,10,-187.514540605516,82.5145406055155,8.10379549885199,4.39543605729843,281.253795498852,0.0156280061910004,743.114502192142,298.101373471312,0.40115133346467,1584.75460525671,619.355544741191,0.390821104218128,0.427365845430398,0.12809195485141,0.299724360804756,1709,"R",2686,1
"Glaucidium passerinum","Bird",7130,7150,20,-161.249265772865,154.498531545865,6970,7000,30,-157.894991928516,30,5.18731123525422,3.02545904621349,278.337311235254,0.0108697573918013,737.480331559451,245.399838924901,0.332754418556474,1205.97676294071,383.144515092861,0.31770472439169,0.469890111871536,0.110655659152715,0.235492631909154,903,"R",65,1
"Strix aluco","Bird",6960,6920,-40,-159.64543114536,33.6454311453474,6890,6840,-50,-70.8631776787738,135.863177678774,9.3042423724523,3.63361170400941,282.454242372452,0.012864426016367,769.199942781277,308.573387172037,0.401161479622965,1690.97447005759,561.740224410659,0.332199116164969,0.421585994253544,0.120482174602812,0.285783152773224,2204,"R",442,1
"Strix uralensis","Bird",7110,7130,20,-78.9888520977304,78.9888520978197,7000,7010,10,-19.5275260542568,219.763763027128,4.78850477470859,3.68309818701275,277.938504774709,0.0132514859357044,667.003611170232,173.966856523687,0.260818462764345,1232.75030176274,422.321451156898,0.342584747740893,0.455854783369658,0.089361240664236,0.196030060282974,708,"R",730,1
"Asio otus","Bird",7100,7070,-30,-169.120259481987,114.12025948204,6970,6970,0,-191.963052192023,86.9630521920228,8.63983623715728,3.85742995378968,281.789836237157,0.0136890315325043,763.058574583622,304.616865163673,0.399205087669571,1602.87008606583,564.878771937852,0.352417065393191,0.430593657972157,0.126692151739582,0.294226701657028,2245,"S",256,1
"Aegolius funereus","Bird",7310,7350,40,-95.7023916568439,177.702391656976,7120,7110,-10,-133.81181722258,238.81181722258,5.35680308921189,3.43759359358598,278.506803089212,0.0123429429926164,757.587734237521,267.347283875885,0.352892835765033,1201.34108902158,405.121822167603,0.337224644915417,0.475508531893339,0.114324028088046,0.240424767212568,1130,"R",143,1
"Caprimulgus europaeus","Bird",6950,6920,-30,-71.113418514606,57.1134185145923,6870,6860,-10,-141.151907916855,112.303815833709,9.68461788022566,3.50089637727619,282.834617880226,0.0123778920823573,729.235641041808,233.788261294672,0.320593575158607,1764.67406358852,527.950422305848,0.299177300329469,0.403269073998116,0.103459299418442,0.25655153367631,2031,"L",85,2
"Jynx torquilla","Bird",7330,7340,10,-187.143332448749,158.143332448873,7100,7080,-20,-263.391636107805,240.891636107805,8.15561581517411,4.35039430368239,281.305615815174,0.0154650105049475,738.010491435919,279.331256913767,0.378492257434285,1581.20039541403,590.273116424094,0.37330696231551,0.427749059178666,0.121513872874475,0.284077475489479,2130,"L",38,1
"Picus canus","Bird",6840,6970,130,43.1753523056852,237.824647694335,6780,6880,100,1.58540493588288,115.914595064117,7.66491193572454,2.96904718360156,280.814911935725,0.0105729683766977,761.09324914589,301.955260670479,0.396738850343683,1513.80284762693,441.957207708338,0.29195162923703,0.429399525565062,0.123863289566368,0.288456978156583,1272,"R",127,1
"Dryocopus martius","Bird",7340,7400,60,-152.138298304531,250.138298304747,7120,7160,40,-241.478380714158,246.478380714158,7.1809465436966,3.66543068628234,280.330946543697,0.0130753694213029,725.577793802319,233.22030741106,0.321427019133113,1445.2237348163,467.123461814946,0.323218786518422,0.431525596013418,0.109819365756534,0.25449096593825,1747,"R",380,1
"Dendrocopos leucotos","Bird",6940,6970,30,-117.066965077857,86.1778275129709,6860,6890,30,-48.1989582468109,88.1989582468109,7.66729342849476,3.09579082704755,280.817293428495,0.0110242171671519,761.101349167339,331.647608291578,0.435746972008928,1548.90457937359,459.693036029414,0.296785897692499,0.423698174744126,0.124603255423183,0.294084947376589,890,"R",107,1
"Dendrocopos minor","Bird",7340,7210,-130,-307.428272273104,40.4282722731747,7020,7020,0,-137.407630361699,179.907630361699,7.92316727275234,4.26781096557546,281.073167272752,0.0151839857464373,746.509818881995,278.528415386939,0.373107504204131,1534.46388617963,568.623963726912,0.370568489000169,0.436633246158832,0.122826309919977,0.281303155452567,2199,"R",22,1
"Lullula arborea","Bird",6950,6970,20,-137.790779582599,179.79077958259,6780,6860,80,-11.5078161393084,171.507816139308,9.9449483849044,3.43267975187697,283.094948384904,0.0121255422304809,712.824048656575,208.081901050016,0.291912010323134,1810.19187408516,523.891627564978,0.289412208211212,0.39387299976451,0.0978384179902725,0.248400926310685,1941,"S",29,2
"Alauda arvensis","Bird",7320,7260,-60,-260.321886308815,81.321886308952,7120,7070,-50,-270.196361789542,102.696361789542,8.40651883906189,4.25044216431724,281.556518839062,0.0150962307029616,769.063656639549,312.774871820077,0.406695686527118,1574.62683576765,593.029688736729,0.376616018008876,0.439737337768879,0.130194231994466,0.296072725266042,2475,"S",37,2
"Anthus petrosus","Bird",7020,7030,10,-77.8376620700317,61.3126157643088,6780,6810,30,-96.4853830689857,146.485383068986,6.6197559402518,3.34313834172277,279.769755940252,0.011949605955394,1090.24960985291,526.096855133993,0.482547162025558,1062.43240748355,368.375098469052,0.346728032648755,0.574502661298116,0.146659651035123,0.255281064675555,371,"S",25,2
"Troglodytes troglodytes","Bird",7110,7150,40,-96.6341240053075,160.634124005446,7000,7030,30,30,231.2891435686,8.96821137204435,4.0958805732861,282.118211372044,0.0145183132750145,778.808461069355,314.605871408012,0.403957952608832,1641.50556852444,607.215214019582,0.369913587661729,0.43579989985083,0.129175401158877,0.296409891794588,2441,"S",10,2
"Prunella modularis","Bird",7350,7360,10,-139.962177389622,193.962177389839,7100,7140,40,-209.110923416024,279.110923416024,7.39116957215164,3.97640658238629,280.541169572152,0.0141740571925705,794.613851199265,325.802088535223,0.410013100128457,1410.69965605975,503.823621084053,0.357144498419523,0.463008529817489,0.127696096524092,0.275796423392951,2061,"S",19,2
"Erithacus rubecula","Bird",7310,7390,80,-131.056038168208,287.056038168304,7120,7200,80,-148.783786220977,353.783786220977,8.47846900362052,4.15841533199054,281.628469003621,0.0147656071373135,774.620197164419,314.075149584354,0.405456959080153,1579.62266755131,584.773517236179,0.370198231038733,0.440549082726342,0.129954871194116,0.294983865111894,2450,"S",16,2
"Luscinia luscinia","Bird",7040,7050,10,-92.181115545618,163.181115545668,6940,6950,10,-180.324393045711,20.4325240609484,6.70909094501554,2.22153270723603,279.859090945016,0.00793804017491252,630.941674155812,124.407124888779,0.197176902374111,1427.44172135264,322.803032345175,0.226140953789194,0.388569787293633,0.0764857612014738,0.196839187457658,859,"L",27,1
"Phoenicurus ochruros","Bird",7100,7240,140,-33.3475123911951,227.639303415994,6940,6930,-10,-181.471840680514,154.415522041541,9.82648527623696,3.10637629455241,282.976485276237,0.0109775068112816,729.216169306051,219.981131924846,0.301667929462107,1770.1453384332,485.507059424868,0.274275252366906,0.401046634248783,0.106575501396324,0.265743413096971,1761,"S",16,2
"Turdus merula","Bird",7110,7220,110,-83.1831137414603,185.18311374166,7000,7070,70,-102.496060841792,122.496060841792,8.96948391273392,4.20768990647511,282.119483912734,0.0149145668640761,772.997818586766,313.085377859318,0.405027505034512,1647.09804653735,622.155938766194,0.377728539035145,0.433992329896157,0.130841142157601,0.301482614194836,2525,"S",101,2
"Locustella naevia","Bird",7040,7070,30,-124.164082532626,154.164082532635,6950,6960,10,-91.3286648387946,171.328664838795,8.02978836908275,2.4044672418603,281.179788369083,0.0085513516309506,760.643041755192,291.647775179746,0.383422655792349,1485.29108769601,329.351867684604,0.221742303857418,0.4347747778931,0.115564906135526,0.265804071467873,1444,"L",13,2
"Locustella fluviatilis","Bird",6960,7010,50,-71.1644324131825,100.815102689215,6870,6920,50,-66.6465532305235,134.146553230523,7.44723401079338,2.16722212900935,280.597234010793,0.00772360474845588,639.385099458001,115.62164876537,0.180832566888689,1533.26424319627,321.092416964963,0.209417534120282,0.382138340156007,0.0804987426857077,0.210653405394613,947,"L",20,1
"Acrocephalus dumetorum","Bird",7060,7100,40,-78.5448122499823,184.544812250058,6950,6990,40,-62.0854602724889,197.085460272489,4.68098028324057,1.32801133931128,277.830980283241,0.00477992532710863,628.814872401828,33.0179578618284,0.05250823304435,1245.19307052796,174.902801957018,0.140462395829796,0.436414833722922,0.02970454060953,0.0680649196915,222,"L",12,1
"Acrocephalus palustris","Bird",6970,6980,10,-103.645738791956,89.6457387919573,6880,6890,10,-96.1467433635254,166.146743363525,7.89258741469108,2.55468824880746,281.042587414691,0.00909003959972053,707.559726510084,203.952665865223,0.288247985609899,1538.97955231431,365.821474954793,0.237703921669831,0.405683608097366,0.100345615776486,0.247349446153621,1373,"L",12,1
"Acrocephalus scirpaceus","Bird",6900,6960,60,-54.1285113759614,162.128511375953,6810,6830,20,-114.419427780345,141.919427780345,9.59067052366613,3.45068222256696,282.740670523666,0.0122044070143002,726.192320603107,235.022078086953,0.323636138002349,1745.30674212472,525.539334023219,0.301115741627992,0.405341392670001,0.106806183715366,0.263496858812837,2035,"L",13,1
"Acrocephalus arundinaceus","Bird",6860,6900,40,-24.3564018045356,106.712803609071,6790,6820,30,-38.4579458413577,116.343459381018,10.057750811942,3.39853403957187,283.207750811942,0.0120001448753731,703.41852950291,204.438948551408,0.290636285478406,1848.90963259139,508.338588307303,0.27493966138022,0.389556106154879,0.0976559278910561,0.250685142263513,1732,"L",30,1
"Hippolais icterina","Bird",7000,6980,-20,-93.7273198425997,106.72731984262,6890,6890,0,-104.358506235,184.358506235,7.14551283231545,2.85658086683795,280.295512832315,0.0101913185765014,731.884278893737,290.165297634663,0.396463356301703,1431.65646482679,422.31648715911,0.294984514466048,0.425182070439028,0.12504252558071,0.294091718052917,1396,"L",14,1
"Sylvia nisoria","Bird",6770,6710,-60,-120.165533160875,18.2648530573997,6700,6700,0,-55.0394168029961,5.0394168029961,8.39731587172496,2.3467805755455,281.547315871725,0.00833529727775743,673.595601770131,183.942590290391,0.273075699732913,1653.36728023343,361.474225887063,0.21862911538689,0.376174391085895,0.0955163775532595,0.253915151633619,1004,"L",30,1
"Sylvia curruca","Bird",7200,7220,20,-84.8873738842091,200.887373884412,7060,7080,20,-200.446329529028,150.446329529028,7.54402452493356,3.23136852258165,280.694024524934,0.0115120673767482,742.405007347704,267.495610215976,0.360309544747851,1466.85987550855,449.001519160912,0.306097076249527,0.428131552744061,0.120302144431138,0.280993408825103,1774,"L",12,1
"Sylvia communis","Bird",7100,7130,30,-129.901621540914,59.9016215410768,7000,7020,20,20,230.92950780952,8.95915605013761,3.71335922938997,282.109156050138,0.0131628454793223,781.93784414945,318.320086406274,0.407091290935695,1636.76084890664,554.35771487191,0.338691944667556,0.431839686659282,0.128115160169361,0.296672964822807,2305,"L",15,1
"Sylvia borin","Bird",7270,7250,-20,-111.959546891672,165.959546891885,7090,7100,10,-151.710756330097,161.710756330097,7.58930197273923,3.85590841965589,280.739301972739,0.0137348365282689,767.952319368599,314.45014567402,0.409465715179501,1456.43753622711,512.471741638804,0.351866612121491,0.446960986092111,0.129432878070527,0.289584286096624,2083,"L",20,2
"Sylvia atricapilla","Bird",7010,7060,50,-125.147575118043,156.147575118125,6910,6950,40,-132.106108627436,137.106108627436,9.08434563514688,3.74141088455712,282.234345635147,0.0132563982464195,775.949244652227,313.628100073481,0.404186359140083,1650.58513120444,567.937393307655,0.344082460559443,0.430371181553658,0.128447015640873,0.298456358479148,2293,"L",20,2
"Phylloscopus trochiloides","Bird",7080,7140,60,-90.9804677221741,163.268225740584,6950,7000,50,-42.6865072854692,215.186507285469,5.96801810949571,2.50455008274211,279.118018109496,0.00897308636578093,618.626766800744,64.725095275578,0.104627052609293,1378.39275938662,273.92130929562,0.198725151035699,0.40486882693663,0.0659012582346677,0.162771875358491,600,"L",7,1
"Phylloscopus sibilatrix","Bird",7190,7160,-30,-191.041839363935,113.041839364089,7040,7030,-10,-162.575270477155,202.575270477155,7.43791773186572,3.24078702601961,280.587917731866,0.011549987797823,776.993223858925,321.884609747693,0.41426951981519,1434.5161678945,432.252267248677,0.301322687692751,0.445132295373506,0.121188521503891,0.272252817338726,1810,"L",10,1
"Phylloscopus collybita","Bird",7220,7210,-10,-236.760398550371,161.760398550551,7060,7070,10,-285.54617805621,10,8.13879395263488,3.88526059326671,281.288793952635,0.013812354693095,782.741283084413,316.164514621568,0.403919559954361,1530.75824147583,539.878501006329,0.352686979810622,0.445748650461158,0.12997929676734,0.291597734806078,2183,"L",8,2
"Regulus regulus","Bird",7290,7320,30,-76.2954754681757,239.295475468395,7090,7140,50,-117.865500446356,265.365500446356,7.42750689140712,3.76633381390332,280.577506891407,0.0134235058812502,803.136939648481,325.102402063714,0.404790747398576,1401.84703373459,486.239547143149,0.346856351258085,0.463674619188637,0.125886411612487,0.271497309541699,1906,"R",6,2
"Ficedula parva","Bird",7000,7070,70,-35.7088475862603,175.708847586252,6900,6950,50,-18.1438222943824,218.143822294382,7.52825352911543,2.71813200509327,280.678253529115,0.00968415604314465,684.12880914644,188.552922602173,0.27561026532039,1533.63299637326,380.620873229035,0.24818250137362,0.398425967099043,0.0976751572599141,0.245152588750907,1173,"L",10,1
"Aegithalos caudatus","Bird",7030,7030,0,-96.6012671160332,94.6012671160717,6950,6940,-10,-77.9885432608047,77.9885432608047,9.04155625601951,3.80325464487747,282.19155625602,0.0134775635931039,779.396627776614,313.515162216271,0.402253680658891,1648.2919529536,573.181641649693,0.347742789511652,0.431780595533588,0.129195126511627,0.29921475825464,2336,"R",8,2
"Parus cristatus","Bird",7170,7170,0,-173.003710973004,179.003710973175,7020,7050,30,-200.406988231195,115.406988231195,8.00203330489082,3.86389969666249,281.152033304891,0.0137430971109938,759.728618444588,298.774829280362,0.393265202898439,1528.75392106158,533.398994164246,0.348910957359213,0.434797079664447,0.115531892137164,0.265714508078861,1808,"R",12,1
"Parus ater","Bird",7040,7080,40,-86.1332601964223,208.13326019651,6920,6980,60,-94.868568452941,199.868568452941,8.58733190992754,3.96268348011382,281.737331909927,0.0140651700406558,785.759878285754,320.219226428549,0.407528095131495,1578.26726603757,567.757862452774,0.359734928722306,0.44188170257902,0.128111199107418,0.289921936934034,2206,"R",9,2
"Parus caeruleus","Bird",7060,7290,230,53.4440494951265,361.277975252655,6950,7110,160,-98.3787168336215,160,9.13607863871641,3.99816455000653,282.286078638716,0.0141635201044525,771.987370790986,312.436742225624,0.404717426796112,1668.09389418612,597.432876802677,0.35815302656819,0.429444715041987,0.128319338382187,0.298802928264331,2431,"R",11,2
"Certhia familiaris","Bird",7130,7260,130,-66.9687870070342,246.968787007203,7010,7070,60,37.6338012284574,289.866198771543,7.08673292113722,3.42038278633467,280.236732921137,0.0122053335074286,789.453204016918,331.624103398944,0.42006809486815,1384.2794660942,455.828565727946,0.329289407878082,0.454323355552562,0.132227316802704,0.291042305412375,1826,"R",9,2
"Oriolus oriolus","Bird",6980,6970,-10,-75.6087488969025,55.6087488968947,6900,6890,-10,-87.7162206461399,112.71622064614,9.8261014042366,3.34073273542716,282.976101404237,0.0118057062728943,716.802221750033,215.467857583937,0.300595967822036,1805.06229478888,497.28400825532,0.275494097733332,0.395752916349317,0.102499269481491,0.258998140625244,1838,"L",76,1
"Lanius collurio","Bird",7100,7110,10,-147.180027770071,187.1800277702,7000,7010,10,-226.227722877046,141.227722877046,8.81714798511596,3.53915162551481,281.967147985116,0.0125516452920311,734.275079491336,236.633521949767,0.322268218763046,1654.72942466043,500.58609336022,0.302518397207414,0.41126805376331,0.105301742787462,0.256041629841895,1952,"L",29,1
"Garrulus glandarius","Bird",7240,7310,70,-118.540190101737,196.540190101934,7070,7110,40,-134.171710211455,189.171710211455,8.88578088885201,4.17660107865811,282.035780888852,0.0148087631487583,760.609777065863,300.598153155968,0.395206796204433,1646.18551333148,601.285245652275,0.365259711486234,0.42979700288263,0.125639023420012,0.292321776506947,2448,"R",160,1
"Nucifraga caryocatactes","Bird",7000,7290,290,120.863313465892,341.136686534104,6900,7020,120,35.9832912385338,249.016708761466,6.80160938799798,2.4044103679483,279.951609387998,0.00858866420952028,787.297014958894,303.381678217393,0.385345901804585,1370.37001971018,331.497422057242,0.241903586103956,0.451133426695368,0.109910149657952,0.243631136941156,853,"R",190,1
"Corvus monedula","Bird",7050,7140,90,-58.8832109746646,193.883210974756,6940,7020,80,-65.9510291621845,220.951029162184,9.42048864728018,3.56671345106213,282.57048864728,0.0126223848362109,757.380176441021,292.807495967814,0.386605703550013,1703.36530201067,552.526657715694,0.324373554553146,0.417636414465757,0.118733953073744,0.284299809502074,2262,"R",225,1
"Corvus frugilegus","Bird",7190,7310,120,55.578997772716,184.84200445457,7010,7180,170,11.3530931887482,299.323453405626,8.74517660536498,2.27591347774166,281.895176605365,0.00807361624682139,738.699598313307,278.78332036561,0.377397417031448,1597.49810694371,357.951792418004,0.22407024513026,0.415042062892725,0.11798217589688,0.284265587624006,1350,"S",470,1
"Sturnus vulgaris","Bird",7280,7130,-150,-357.772588688262,-71.2274113116294,7090,7010,-80,-327.856513583001,50.356513583001,7.73568850155099,3.99647380787471,280.885688501551,0.0142281147508612,779.235934273957,316.188603531936,0.405767482767001,1479.37849986291,541.486816128312,0.366023175393241,0.45003166597152,0.130274280785494,0.289478031516427,2252,"S",77,1
"Passer domesticus","Bird",7310,7310,0,-150.878326267038,182.878326267205,7090,7100,10,-219.94288936171,289.94288936171,8.45400543336574,4.23458935895753,281.604005433366,0.0150373903682259,768.48243343383,319.697298162575,0.416011198504647,1580.96630459043,603.43095321595,0.381684891995391,0.436772923182643,0.132281038205998,0.302859978686643,2420,"R",32,2
"Passer montanus","Bird",6950,7090,140,-3.84696473751469,188.615654912559,6890,6970,80,18.8485842600168,213.651415739983,9.38788949406314,3.65012373919717,282.537889494063,0.0129190592657622,750.815020635024,278.718107234631,0.371220739562318,1704.74522243095,556.173865505784,0.326250432139464,0.41688322589439,0.118663035844512,0.284643344883762,2232,"R",23,2
"Carduelis chloris","Bird",7280,7390,110,-32.6396424531837,326.639642453331,7020,7180,160,-81.7116276053111,276.711627605311,8.70087254956759,4.47831951801801,281.850872549568,0.0158889680826886,765.508199324845,310.825852950485,0.406038567875072,1621.69939563327,632.799789637131,0.390207822325804,0.437374233350982,0.129286821143132,0.295597708517462,2567,"R",29,2
"Carduelis carduelis","Bird",6940,6970,30,-56.7625753488525,134.762575348841,6820,6850,30,-88.1414730905204,131.57073654526,9.88990850604131,3.4617393530212,283.039908506041,0.0122305697853464,754.514782681512,277.19503148552,0.367381843070564,1770.66711407546,549.530047786433,0.310351981701183,0.413686751088634,0.117442380795766,0.283892052348091,2229,"S",18,2
"Carduelis cannabina","Bird",7060,7060,0,-109.186360309157,149.186360309105,6940,6930,-10,-176.913578882586,86.9135788825855,9.54437425219505,3.66412825302129,282.694374252195,0.0129614473677233,757.727305775542,284.280795202275,0.375175598180813,1722.57488382504,565.54505359805,0.328313769641316,0.418379759295207,0.119338174021246,0.285238880155867,2311,"S",17,2
"Carpodacus erythrinus","Bird",7240,7260,20,-172.37172347671,185.371723476895,7090,7100,10,-173.258676602098,225.758676602098,5.9147802966561,2.79212295907454,279.064780296656,0.0100052860705189,681.536370201343,192.91987964417,0.28306615476321,1302.42640211789,339.324114084304,0.260532275399612,0.42893563412787,0.0971102971913228,0.226398297238166,954,"L",23,1
"Coccothraustes coccothraustes","Bird",7310,7170,-140,-263.788992994888,40.7577985989758,6940,6890,-50,-269.57543026888,98.26257171148,9.14672904717961,2.97272147135418,282.29672904718,0.0105304850020326,727.013736924043,221.292269621002,0.304385265892331,1682.10691210311,456.536230516819,0.271407380370383,0.404720458802695,0.103854328273715,0.256607557178979,1746,"S",53,1
"Emberiza hortulana","Bird",7210,7150,-60,-191.487200419064,65.4872004190643,7070,7020,-50,-154.21186893606,112.10593446803,8.19397560016628,3.9235832816503,281.343975600166,0.0139458585288008,693.718033723911,201.138603465009,0.289942878355472,1622.88962625937,508.625438425466,0.313407289193047,0.401432050810473,0.0985874557938292,0.245589398242581,1504,"L",24,1
