Taxon,migration_m,migr_sterr_m,shift + 2SE,signif_shift,signif_shift2,StorageOrgan,ReprModeCode,flwr_mo_start,flwr_mo_end,flwr_dur_mos,earliest_seed_shed_mo,latest_seed_shed_mo,seed_shed_dur_mos,SI01,BreedSysCode,seed_mass_mg,diaspore_mass_mg,dispersal_mode,dispmode01,diaspore_min_len_mm,diaspore_max_len_mm,diaspore_ave_len_mm,Min_seed_shed_ht_m,Max_seed_shed_ht_m,Ave_seed_shed_ht_m,Grime,nichebreadth_num_flor_zones,oceanity,nichebreadth_amplit_ocean,Bio1_mean_nosyn,Bio1_std_nosyn,Bio1_var_nosyn,Bio1_mean_inclsyn,Bio1_std_inclsyn,Bio1_var_inclsyn,Nbound_lat_GBIF_nosyn,DispModeEng,GenTime,Resil,MaxAlt
Pedicularis_kerneri,-3.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.620642857,2.558790968,6.54741122,2.620642857,2.558790968,6.54741122,47.1677,NA,NA,NA,NA
Phyteuma_globulariifolium,1.3,1.2,-1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wind,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.036366223,2.827744612,7.99613959,1.036366223,2.827744612,7.99613959,47.1853,NA,NA,NA,NA
Poa_alpina,1.6,1.3,-1,0,0,0,2,6,8,3,7,12,6,0,3,0.48,0.48,wind,1,3,5,3.6,0.1,0.5,0.3,cs,5,sos,4,1.008333333,0.504355751,0.254374723,1.008333333,0.504355751,0.254374723,71.1517,6,2,5,5000
Poa_laxa,0,0,0,0,0,0,NA,NA,NA,NA,9,10,2,NA,NA,NA,NA,wind,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.672903571,1.321568668,1.746543746,1.672903571,1.321568668,1.746543746,62.3052,NA,NA,NA,NA
Poa_minor,0,2,4,0,0,0,2,7,8,2,8,12,5,0,3,0.4,0.4,animal,1,3,4,3.5,0.05,0.25,0.15,csr,2,o,2,4.367848571,2.943651393,8.665083522,4.367848571,2.943651393,8.665083522,52.5256,6,2,5,3000
Polygonum_vivparum,1.8,1.3,-0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.25,0.15,NA,NA,NA,NA,8.146940678,1.368330124,1.872327327,8.146940678,1.368330124,1.872327327,70.4942,1,2,5,NA
Polystichum_lonchitis,6.8,NA,NA,NA,NA,0,1,7,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.5,0.3,cs,5,os,4,1.786946667,1.842737254,3.395680586,1.786946667,1.842737254,3.395680586,71.1517,3,2,5,NA
Potentilla_aurea,3.1,3.1,-3.1,0,0,0,2,6,9,4,8,11,4,0,NA,0.33,0.33,animal,1,1,1,1,0.05,0.2,0.125,csr,2,so,3,2.078,1.513012046,2.28920545,2.078,1.513012046,2.28920545,47.7761,6,2,5,NA
Potentilla_crantzii,-2.1,NA,NA,NA,NA,1,2,6,7,2,6,11,6,0,NA,0.52,0.52,gravity,0,1.4,1.8,1.6,0.05,0.2,0.125,csr,4,os,4,0.963191667,1.557321251,2.425249479,0.963191667,1.557321251,2.425249479,71.1517,1,2,5,NA
Potentilla_frigida,0.1,0.1,-0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gravity,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.636974791,3.573723506,12.77149969,4.636974791,3.573723506,12.77149969,46.9447,NA,NA,NA,NA
Primula_glutinosa,7,1.4,4.2,1,1,0,NA,NA,NA,NA,9,12,4,NA,NA,NA,NA,gravity,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468112805,3.696225868,13.66208567,0.446241176,3.719635911,13.83569131,47.4439,NA,NA,NA,NA
Primula_hirsuta,0.6,0.6,-0.6,0,0,0,2,4,7,4,8,12,5,1,1,0.17,0.17,gravity,0,0.8,1.2,1,NA,NA,NA,s,2,so,3,-0.75126,6.039445869,36.4749064,1.877663253,3.230220193,10.4343225,47.3735,NA,NA,NA,NA
Primula_integrifolia,-5.8,3.7,1.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gravity,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,2.611297344,6.81887382,1.129164706,2.594513669,6.731501181,50.576,NA,NA,NA,NA
Pritzelago_alpina,8.1,NA,NA,NA,NA,1,1,5,8,4,6,11,6,1,1,NA,NA,NA,NA,1.5,2.2,1.85,0.05,0.12,0.085,csr,2,o,2,0.73713913,1.540279492,2.372460912,0.73713913,1.540279492,2.372460912,56.8102,1,2,5,NA
Ranunculus_alpestris,1.1,NA,NA,NA,NA,0,2,6,9,4,7,10,4,0,NA,NA,NA,wind,1,2,2,2,0.05,0.15,0.1,s,2,so,3,5.887433065,2.836520885,8.04585073,5.887433065,2.836520885,8.04585073,47.7761,6,2,5,NA
Ranunculus_glacialis,-1.1,1,0.9,0,0,0,2,7,8,2,8,10,3,0,NA,0.31,0.31,wind,1,3,4.7,3.7,0.05,0.15,0.1,s,4,o,2,3.065028947,2.136658574,4.565309863,3.065028947,2.136658574,4.565309863,69.66,NA,NA,NA,NA
Rumex_nivalis,-9.5,NA,NA,NA,NA,1,1,7,9,3,8,10,3,1,1,NA,NA,wind,1,2,3,2.5,0.1,0.2,0.15,s,2,so,3,4.819694805,2.743378802,7.526127249,4.819694805,2.743378802,7.526127249,47.6431,NA,NA,NA,NA
Sagina_saginoides,-2,4,6,0,0,1,1,6,8,3,6,9,4,0,3,0.02,0.02,gravity,0,0.3,0.6,0.45,0.02,0.07,0.045,s,5,os,4,0.67605,0.399265371,0.159412837,0.67605,0.399265371,0.159412837,71.1517,6,2,5,4400
Salix_herbacea,2.4,2.2,-2,0,0,0,3,6,8,3,8,10,3,1,1,0.51,0.51,wind,1,0.9,1.8,1.35,0.01,0.1,0.055,s,4,o,2,3.748591489,1.791050122,3.20786054,3.748591489,1.791050122,3.20786054,71.1583,NA,NA,NA,2600
Salix_retusa,1.7,1.7,-1.7,0,0,0,2,7,8,2,7,10,4,1,1,0.36,0.36,wind,1,NA,NA,NA,0.1,0.3,0.2,cs,2,so,3,1.121912912,2.778737657,7.721382965,1.167945439,2.853563021,8.142821914,47.7761,5,3,5,2500
