Taxon,migration_m,migr_sterr_m,shift + 2SE,signif_shift,signif_shift2,StorageOrgan,ReprModeCode,flwr_mo_start,flwr_mo_end,flwr_dur_mos,earliest_seed_shed_mo,latest_seed_shed_mo,seed_shed_dur_mos,SI01,BreedSysCode,seed_mass_mg,diaspore_mass_mg,dispersal_mode,dispmode01,diaspore_min_len_mm,diaspore_max_len_mm,diaspore_ave_len_mm,Min_seed_shed_ht_m,Max_seed_shed_ht_m,Ave_seed_shed_ht_m,Grime,nichebreadth_num_flor_zones,oceanity,nichebreadth_amplit_ocean,Bio1_mean_nosyn,Bio1_std_nosyn,Bio1_var_nosyn,Bio1_mean_inclsyn,Bio1_std_inclsyn,Bio1_var_inclsyn,Nbound_lat_GBIF_nosyn,DispModeEng,GenTime,Resil,MaxAlt
Arabis_bellidifolia,8.9,0.8,7.3,1,1,1,1,6,8,3,NA,NA,NA,NA,NA,NA,NA,gravity,0,2.2,2.9,2.55,NA,NA,NA,csr,2,so,3,1.380187019,3.436296262,11.808132,1.380187019,3.436296262,11.808132,47.6667,NA,NA,NA,NA
Arabis_caerulea,9.9,1.8,6.3,1,1,1,1,7,8,2,3,10,8,0,4,0.24,0.24,gravity,0,1.8,2,1.9,0.02,0.12,0.07,csr,2,so,3,0.5802125,1.428972401,2.041962124,0.5802125,1.428972401,2.041962124,47.3566,1,2,5,2500
Arenaria_biflora,0.1,4,-7.9,0,0,1,2,7,9,3,8,10,3,0,3,NA,NA,gravity,0,0.7,0.8,0.75,NA,NA,NA,csr,2,so,3,4.846584,2.684162161,7.204726509,4.846584,2.684162161,7.204726509,47.1363,NA,NA,NA,NA
Arenaria_ciliata,3.5,1.6,0.3,1,1,1,1,7,8,2,8,10,3,0,3,NA,NA,gravity,0,0.8,1,0.9,0.03,0.1,0.065,csr,4,o,2,3.617836111,2.271054978,5.157690713,3.617836111,2.271054978,5.157690713,69.9457,NA,NA,NA,NA
Artemisia_genipi,1.7,1.5,-1.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.22,gravity,0,1.2,1.5,1.35,NA,NA,NA,NA,NA,NA,NA,3.358530952,2.586103125,6.687929371,3.358530952,2.586103125,6.687929371,47.2144,NA,NA,NA,NA
Asplenium_viride,6.8,NA,NA,NA,NA,1,1,7,8,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csr,5,os,4,4.436179545,3.125760022,9.770375717,4.436179545,3.125760022,9.770375717,71.0621,5,2,5,NA
Aster_alpinus,-1,1,1,0,0,0,2,6,8,3,7,12,6,0,2,1.3,0.9,wind,1,8,9,8.5,NA,NA,NA,csr,4,sks,4,0.260571429,2.016242941,4.065235598,0.260571429,2.016242941,4.065235598,69.41,NA,NA,NA,NA
Aster_bellidiastrum,5.7,4.5,-3.3,0,0,0,2,4,9,6,7,9,3,0,2,NA,NA,NA,NA,2,2.5,2.25,NA,NA,NA,csr,2,so,3,2.17105,4.253866705,18.09538195,2.17105,4.253866705,18.09538195,48.2914,3,2,5,NA
Avenella_flexuosa,3.2,NA,NA,NA,NA,0,2,6,8,3,6,11,6,1,1,0.53,0.53,wind,1,5.1,7.5,6.3,0.2,0.86,0.53,cs,8,o,2,1.159334307,3.165517761,10.0205027,0.917721116,3.083296534,9.506717515,71.1832,NA,NA,NA,5000
Campanula_cenisia,-5.3,3.4,1.5,0,0,1,NA,NA,NA,NA,8,10,3,NA,NA,NA,NA,gravity,0,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,2.0356,2.435350959,5.930934294,2.0356,2.435350959,5.930934294,47.1903,NA,NA,NA,NA
Campanula_cochleariifolia,14.7,2.8,9.1,1,1,1,1,6,9,4,8,12,5,1,1,NA,NA,gravity,0,0.5,0.5,0.5,NA,NA,NA,csr,2,so,3,0.971903448,3.896060895,15.1792905,0.971903448,3.896060895,15.1792905,52.9417,1,2,5,NA
Campanula_scheuchzeri,4.3,3.4,-2.5,0,0,1,1,7,8,2,9,10,2,1,1,0.14,0.09,gravity,0,0.6,0.7,0.65,0.1,0.3,0.2,csr,2,so,3,-0.616079775,4.900974383,24.0195499,-1.041607009,4.702696013,22.11534979,47.8728,1,2,5,2563
Cardamine_resedifolia,1.9,3.6,-5.3,0,0,1,1,5,8,4,7,11,5,0,4,NA,NA,gravity,0,1,1,1,0.02,0.15,0.085,csr,2,o,2,1.452783333,2.549761968,6.501286094,1.452783333,2.549761968,6.501286094,47.6,NA,NA,NA,NA
Carex_atrata,-0.9,NA,NA,NA,NA,0,2,6,8,3,8,12,5,0,2,1.1,1.1,wind,1,3.5,4.5,4,0.15,0.6,0.375,cs,4,os,4,2.8257,1.549916305,2.402240552,2.8257,1.549916305,2.402240552,71.171,NA,NA,NA,3962
Carex_capillaris,-4.2,NA,NA,NA,NA,0,2,5,7,3,7,12,6,0,3,0.59,0.45,wind,1,2,4,3,0.08,0.3,0.19,cs,5,NA,NA,2.591093103,1.64987709,2.722094412,2.591093103,1.64987709,2.722094412,71.1715,NA,NA,NA,NA
Carex_curvula,-5.2,3.8,2.4,0,0,0,NA,NA,NA,NA,10,10,1,NA,NA,2.12,2.12,wind,1,5,8,6.5,NA,NA,NA,NA,NA,NA,NA,3.073723077,1.606289432,2.580165739,3.073723077,1.606289432,2.580165739,47.1853,NA,NA,NA,NA
Carex_firma,4.7,1.1,2.5,1,1,0,2,6,8,3,8,10,3,0,3,1.11,1.11,wind,1,3.5,4.5,4,0.05,0.2,0.125,s,2,so,3,3.100844,3.225860168,10.40617383,3.100844,3.225860168,10.40617383,47.8972,NA,NA,NA,1953
Carex_parviflora,-2,2.2,2.4,0,0,0,2,7,8,2,NA,NA,NA,0,3,1.02,1.02,NA,NA,2.5,4,3.25,0.05,0.2,0.125,csr,2,os,4,1.11918,3.046602614,9.281787487,1.11918,3.046602614,9.281787487,47.6333,NA,NA,NA,NA
Carex_rupestris,4.8,0.8,3.2,1,1,0,2,6,7,2,8,8,1,0,3,NA,NA,wind,1,2.5,4,3.25,0.05,0.15,0.1,csr,4,ks,4,3.351858621,3.039849641,9.240685843,3.378781818,2.863692906,8.200737057,81.71,NA,NA,NA,NA
Cerastium_cerastoides,8.4,5.2,-2,0,0,1,2,7,8,2,9,12,4,0,3,0.19,0.19,gravity,0,0.5,1.2,0.85,0.03,0.15,0.09,s,5,NA,NA,2.78806,3.100678744,9.614208673,2.78806,3.100678744,9.614208673,71.1678,NA,NA,NA,NA
Cerastium_latifolium,0,2,4,0,0,0,2,7,8,2,NA,NA,NA,0,4,0.35,0.7,gravity,0,2,3,2.8,0.03,0.1,0.065,s,2,so,3,0.254681798,2.151860904,4.630505349,0.223364244,2.149576736,4.620680145,47.1925,1,3,5,NA
Cerastium_pedunculatum,4.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gravity,0,1,1.5,1.25,NA,NA,NA,NA,NA,NA,NA,2.191133052,3.472860451,12.06075971,2.191133052,3.472860451,12.06075971,46.925,NA,NA,NA,NA
Cerastium_uniflorum,3,1.2,0.6,1,1,1,2,7,8,2,9,10,2,0,2,NA,NA,gravity,0,1.5,2,1.75,0.02,0.08,0.05,s,1,so,3,1.588039757,3.848841173,14.81357837,1.588039757,3.848841173,14.81357837,47.1871,NA,NA,NA,NA
Cirsium_spinosissimum,7.6,4.4,-1.2,0,0,1,1,7,8,2,8,10,3,0,3,2.4,2.4,animal,1,15,16,15.5,0.15,0.6,0.375,c,2,sos,4,3.536914286,1.121580521,1.257942865,3.536914286,1.121580521,1.257942865,47.55,5,2,5,2600
Doronicum_clusii,1.1,1.5,-1.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wind,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,47.3046,NA,NA,NA,NA
Doronicum_grandiflorum,9.8,NA,NA,NA,NA,0,2,7,8,2,8,9,2,NA,NA,NA,NA,wind,1,10,10,10,0.06,0.6,0.33,cs,2,o,2,3.101394444,1.813818342,3.289936977,3.101394444,1.813818342,3.289936977,57.2518,5,3,5,NA
Draba_aizoides,16.7,NA,NA,NA,NA,1,1,4,8,5,3,9,7,0,2,0.19,0.3,gravity,0,1,1.5,1.25,0.03,0.1,0.065,s,2,so,3,4.045513677,3.437668288,11.81756326,4.045513677,3.437668288,11.81756326,51.499,1,2,5,2880
Draba_dubia,-1.4,4.8,8.2,0,0,0,1,5,7,3,7,11,5,0,3,0.2,0.2,gravity,0,0.9,1.6,1.1,0.03,0.14,0.085,s,1,sks,4,2.3424975,4.214527513,17.76224216,-0.770373016,5.757533797,33.14919543,48.4705,NA,NA,NA,3000
Draba_fladnizensis,-5.6,4.8,4,0,0,0,1,6,8,3,7,11,5,0,4,0.2,0.2,gravity,0,0.7,1.4,1.05,0.01,0.08,0.045,s,4,ks,4,4.904322222,2.496901711,6.234518154,4.904322222,2.496901711,6.234518154,81.61,NA,NA,NA,3978
Draba_hoppeana,7.8,NA,NA,NA,NA,0,NA,NA,NA,NA,3,11,9,NA,NA,NA,NA,gravity,0,0.7,1,0.85,NA,NA,NA,NA,NA,NA,NA,2.11084,1.308574452,1.712367096,2.11084,1.308574452,1.712367096,47.5448,NA,NA,NA,NA
Draba_siliquosa,4.8,2.5,-0.2,0,0,0,1,5,7,3,7,11,5,0,NA,NA,NA,NA,NA,0.6,1.2,0.8,0.03,0.05,0.04,s,2,so,3,2.399316667,2.060431716,4.245378858,2.399316667,2.060431716,4.245378858,47.0919,NA,NA,NA,NA
Draba_tomentosa,10.4,9.5,-8.6,0,0,0,1,6,8,3,7,9,3,0,4,0.2,0.2,gravity,0,1,1.6,1.2,0.03,0.12,0.075,s,2,so,3,3.1036853,2.993454195,8.960768019,4.789116875,3.533773762,12.487557,47.4001,NA,NA,NA,3000
Dryas_octopetala,3.5,NA,NA,NA,NA,0,2,6,8,3,7,11,5,1,1,0.52,1.2,wind,1,2.5,4.1,3.3,0.02,0.15,0.085,s,4,ks,4,3.220994554,3.041658993,9.251689429,3.220994554,3.041658993,9.251689429,NA,3,2,5,NA
Elyna_myosuroides,-1.7,2.8,3.9,0,0,0,2,6,8,3,8,10,3,0,3,NA,NA,animal,1,2.6,2.8,2.7,0.1,0.3,0.2,csr,5,ks,4,3.073616667,2.621914776,6.874437094,11.10833846,7.958032957,63.33028854,47.2697,6,2,5,NA
Erigeron_uniflorus,5.9,4.3,-2.7,0,0,0,2,7,9,3,8,12,5,0,4,0.18,0.3,wind,1,5,5.9,5.45,0.03,0.1,0.065,csr,5,sks,3,-3.86369375,4.937815082,24.38201778,-3.914252308,4.928375675,24.28888679,70.4261,5,2,5,3000
Festuca_alpina,4.4,14.2,-24,0,0,0,1,6,7,2,8,10,3,1,1,NA,NA,NA,NA,3.5,4.2,3.85,0.05,0.1,0.075,s,2,o,2,0.48709,1.091355956,1.191057823,0.48709,1.091355956,1.191057823,47.62,NA,NA,NA,NA
Festuca_halleri,1.6,1.4,-1.2,0,0,0,NA,NA,NA,NA,8,10,3,NA,NA,1.24,1.24,wind,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.447575,3.026399403,9.159093346,4.447575,3.026399403,9.159093346,46.9547,NA,NA,NA,NA
Festuca_quadriflora,3.7,7.4,-11.1,0,0,0,1,7,8,2,7,10,4,NA,NA,NA,NA,NA,NA,4,6,5,0.1,0.25,0.175,csr,2,os,4,1.610061979,3.420464636,11.69957833,1.610061979,3.420464636,11.69957833,47.4001,4,2,5,NA
Festuca_violacea,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,2,NA,NA,0.93,0.93,wind,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.038822727,2.35054439,5.525058929,2.038822727,2.35054439,5.525058929,47.76,3,2,5,NA
Gentiana_bavarica,-1,0.5,0,0,0,0,2,7,8,2,9,10,2,0,3,NA,NA,gravity,0,1,1,1,0.04,0.2,0.12,csr,2,so,3,-2.913046048,3.488367024,12.16870449,-2.913046048,3.488367024,12.16870449,47.7761,1,3,5,NA
Gentiana_brachyphylla,-0.3,2.7,5.1,0,0,NA,NA,NA,NA,NA,10,4,7,NA,NA,NA,NA,gravity,0,1.2,1.5,1.35,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,47.1687,NA,NA,NA,NA
Gentiana_nivalis,4.2,2.1,0,0,0,0,1,7,8,2,7,11,5,0,3,0.03,0.03,gravity,0,0.5,0.5,0.5,0.03,0.15,0.09,r,4,o,2,1.228125,3.702829565,13.71094678,1.723715385,3.970049832,15.76129567,71.0757,NA,NA,NA,3000
Gentiana_punctata,5.3,NA,NA,NA,NA,0,1,7,8,2,8,10,3,0,3,0.7,0.7,gravity,0,2.5,3,2.75,0.2,0.6,0.4,c,2,so,3,5.34165,3.12307852,9.753619445,5.34165,3.12307852,9.753619445,47.4824,NA,NA,NA,2485
Gentiana_tenella,2.7,1.7,-0.7,0,0,NA,1,7,9,3,8,12,5,0,4,NA,NA,gravity,0,0.6,0.7,0.65,0.04,0.13,0.085,r,5,ks,4,1.450566667,1.517333963,2.302302355,1.450566667,1.517333963,2.302302355,47.1853,NA,NA,NA,NA
Gentiana_verna,2.1,1.1,-0.1,0,0,0,2,3,8,6,3,12,10,0,3,0.08,0.08,gravity,0,0.6,0.9,0.75,0.05,0.2,0.125,csr,2,so,3,0,0,0,0,0,0,58.1322,1,2,5,2850
Geum_montanum,3.1,2.1,-1.1,0,0,0,2,5,10,6,7,11,5,0,NA,1.74,1.74,wind,1,3,4,3.5,0.05,0.4,0.225,csr,2,o,2,3.793766667,1.237264308,1.530822968,3.793766667,1.237264308,1.530822968,56.6374,3,3,5,NA
Geum_reptans,-0.3,2.4,4.5,0,0,0,2,7,8,2,8,11,4,NA,NA,NA,NA,wind,1,26,29.5,27.75,0.03,0.15,0.09,csr,2,so,3,2.06752,1.202075907,1.444986487,2.06752,1.202075907,1.444986487,47.1997,NA,NA,NA,NA
Gnaphalium_hoppeanum,9.8,NA,NA,NA,NA,0,2,7,8,2,NA,NA,NA,0,4,NA,NA,wind,1,1,1.5,1.25,NA,NA,NA,s,2,so,3,1.823076923,1.425207611,2.031216735,1.823076923,1.425207611,2.031216735,47.6536,NA,NA,NA,NA
Gnaphalium_supinum,9.3,4.2,0.9,1,1,0,2,6,9,4,NA,NA,NA,0,4,0.09,0.09,wind,1,NA,NA,NA,NA,NA,NA,csr,5,os,4,0.830208333,1.370956853,1.879522694,0.830208333,1.370956853,1.879522694,69.0019,NA,NA,NA,NA
Helianthemum_alpestre,3.5,NA,NA,NA,NA,0,1,6,8,3,NA,NA,NA,0,3,0.6,0.9,animal,1,1.1,1.5,1.3,NA,NA,NA,csr,2,so,3,-0.218074138,1.881454121,3.53986961,-0.201466418,1.889785821,3.571290449,47.8294,NA,NA,NA,NA
Helictotrichon_versicolor,-2.8,4.4,6,0,0,0,2,7,8,2,NA,NA,NA,NA,NA,1.6,1.6,wind,1,8,11,9.5,NA,NA,NA,cs,2,os,4,3.59795,2.907976638,8.456328125,3.59795,2.907976638,8.456328125,47.3084,4,2,5,NA
Hieracium_alpinum,19.6,NA,NA,NA,NA,0,2,7,8,2,NA,NA,NA,0,NA,NA,NA,wind,1,NA,NA,NA,0.05,0.3,0.175,csr,4,os,4,1.738606667,1.251892733,1.567235415,1.738606667,1.251892733,1.567235415,69.9707,NA,NA,NA,NA
Homogyne_alpina,0.1,2.2,-4.3,0,0,0,2,5,7,3,7,10,4,0,2,NA,NA,wind,1,4,5,4.5,0.15,0.3,0.225,csr,2,o,2,-0.179201226,2.40787548,5.797864329,-0.179201226,2.40787548,5.797864329,57.2483,3,2,5,NA
Juncus_jacquinii,1.5,1.5,-1.5,0,0,0,2,7,9,3,8,12,5,0,2,NA,NA,wind,1,2,2.5,2.25,0.1,0.25,0.175,csr,2,so,3,3.0382,1.332000395,1.774225052,3.0382,1.332000395,1.774225052,47.6658,NA,NA,NA,NA
